bin_center,count,sigma,model,residual
2.025000,90.000000,9.486833,39.196429,50.803571
2.075000,112.000000,10.583005,39.180849,72.819151
2.125000,105.000000,10.246951,39.165270,65.834730
2.175000,86.000000,9.273618,39.149690,46.850310
2.225000,104.000000,10.198039,39.134111,64.865889
2.275000,104.000000,10.198039,39.118531,64.881469
2.325000,113.000000,10.630146,39.102952,73.897048
2.375000,89.000000,9.433981,39.087372,49.912628
2.425000,73.000000,8.544004,39.071793,33.928207
2.475000,84.000000,9.165151,39.056213,44.943787
2.525000,70.000000,8.366600,39.040634,30.959366
2.575000,86.000000,9.273618,39.025054,46.974946
2.625000,91.000000,9.539392,39.009474,51.990526
2.675000,76.000000,8.717798,38.993895,37.006105
2.725000,71.000000,8.426150,38.978315,32.021685
2.775000,67.000000,8.185353,38.962737,28.037263
2.825000,99.000000,9.949874,38.947389,60.052611
2.875000,84.000000,9.165151,38.958129,45.041871
2.925000,80.000000,8.944272,40.069430,39.930570
2.975000,78.000000,8.831761,57.950290,20.049710
3.025000,122.000000,11.045361,158.504005,-36.504005
3.075000,375.000000,19.364917,324.443014,50.556986
3.125000,350.000000,18.708287,298.059432,51.940568
3.175000,96.000000,9.797959,128.287988,-32.287988
3.225000,71.000000,8.426150,50.558620,20.441380
3.275000,52.000000,7.211103,39.392373,12.607627
3.325000,46.000000,6.782330,38.802464,7.197536
3.375000,31.000000,5.567764,38.775862,-7.775862
3.425000,51.000000,7.141428,38.760203,12.239797
3.475000,57.000000,7.549834,38.744623,18.255377
3.525000,42.000000,6.480741,38.729043,3.270957
3.575000,38.000000,6.164414,38.713464,-0.713464
3.625000,45.000000,6.708204,38.697884,6.302116
3.675000,57.000000,7.549834,38.682305,18.317695
3.725000,41.000000,6.403124,38.666725,2.333275
3.775000,33.000000,5.744563,38.651146,-5.651146
3.825000,35.000000,5.916080,38.635566,-3.635566
3.875000,37.000000,6.082763,38.619987,-1.619987
3.925000,36.000000,6.000000,38.604407,-2.604407
3.975000,28.000000,5.291503,38.588828,-10.588828
4.025000,28.000000,5.291503,38.573248,-10.573248
4.075000,26.000000,5.099020,38.557669,-12.557669
4.125000,33.000000,5.744563,38.542089,-5.542089
4.175000,21.000000,4.582576,38.526510,-17.526510
4.225000,29.000000,5.385165,38.510930,-9.510930
4.275000,34.000000,5.830952,38.495351,-4.495351
4.325000,23.000000,4.795832,38.479771,-15.479771
4.375000,26.000000,5.099020,38.464192,-12.464192
4.425000,20.000000,4.472136,38.448612,-18.448612
4.475000,28.000000,5.291503,38.433033,-10.433033
4.525000,24.000000,4.898979,38.417453,-14.417453
4.575000,31.000000,5.567764,38.401874,-7.401874
4.625000,31.000000,5.567764,38.386294,-7.386294
4.675000,15.000000,3.872983,38.370715,-23.370715
4.725000,29.000000,5.385165,38.355135,-9.355135
4.775000,26.000000,5.099020,38.339556,-12.339556
4.825000,26.000000,5.099020,38.323976,-12.323976
4.875000,25.000000,5.000000,38.308397,-13.308397
4.925000,23.000000,4.795832,38.292817,-15.292817
4.975000,21.000000,4.582576,38.277238,-17.277238
