bin_center,count,sigma,model,residual
60.500000,85.000000,9.219544,89.023696,-4.023696
61.500000,90.000000,9.486833,87.559043,2.440957
62.500000,76.000000,8.717798,86.094389,-10.094389
63.500000,71.000000,8.426150,84.629736,-13.629736
64.500000,87.000000,9.327379,83.165082,3.834918
65.500000,77.000000,8.774964,81.700428,-4.700428
66.500000,74.000000,8.602325,80.235775,-6.235775
67.500000,62.000000,7.874008,78.771121,-16.771121
68.500000,64.000000,8.000000,77.306468,-13.306468
69.500000,43.000000,6.557439,75.841814,-32.841814
70.500000,55.000000,7.416198,74.377160,-19.377160
71.500000,57.000000,7.549834,72.912507,-15.912507
72.500000,71.000000,8.426150,71.447853,-0.447853
73.500000,69.000000,8.306624,69.983200,-0.983200
74.500000,56.000000,7.483315,68.518546,-12.518546
75.500000,82.000000,9.055385,67.053893,14.946107
76.500000,67.000000,8.185353,65.589249,1.410751
77.500000,70.000000,8.366600,64.124712,5.875288
78.500000,82.000000,9.055385,62.661232,19.338768
79.500000,72.000000,8.485281,61.206384,10.793616
80.500000,115.000000,10.723805,59.809679,55.190321
81.500000,91.000000,9.539392,58.734906,32.265094
82.500000,125.000000,11.180340,59.119212,65.880788
83.500000,135.000000,11.618950,64.883726,70.116274
84.500000,156.000000,12.489996,86.639314,69.360686
85.500000,201.000000,14.177447,146.121821,54.878179
86.500000,294.000000,17.146428,274.283223,19.716777
87.500000,417.000000,20.420578,493.008443,-76.008443
88.500000,676.000000,26.000000,781.976484,-105.976484
89.500000,1036.000000,32.186954,1058.640813,-22.640813
90.500000,1331.000000,36.482873,1208.033424,122.966576
91.500000,1351.000000,36.755952,1157.135629,193.864371
92.500000,969.000000,31.128765,930.593035,38.406965
93.500000,531.000000,23.043437,631.371033,-100.371033
94.500000,304.000000,17.435596,366.470899,-62.470899
95.500000,200.000000,14.142136,188.834638,11.165362
96.500000,132.000000,11.489125,94.412713,37.587287
97.500000,74.000000,8.602325,53.461192,20.538808
98.500000,75.000000,8.660254,38.343152,36.656848
99.500000,46.000000,6.782330,33.009853,12.990147
100.500000,43.000000,6.557439,30.642996,12.357004
101.500000,36.000000,6.000000,29.004652,6.995348
102.500000,31.000000,5.567764,27.512335,3.487665
103.500000,30.000000,5.477226,26.044031,3.955969
104.500000,22.000000,4.690416,24.578978,-2.578978
105.500000,24.000000,4.898979,23.114288,0.885712
106.500000,22.000000,4.690416,21.649631,0.350369
107.500000,12.000000,3.464102,20.184978,-8.184978
108.500000,16.000000,4.000000,18.720324,-2.720324
109.500000,16.000000,4.000000,17.255670,-1.255670
110.500000,12.000000,3.464102,15.791017,-3.791017
111.500000,13.000000,3.605551,14.326363,-1.326363
112.500000,9.000000,3.000000,12.861710,-3.861710
113.500000,6.000000,2.449490,11.397056,-5.397056
114.500000,8.000000,2.828427,9.932403,-1.932403
115.500000,7.000000,2.645751,8.467749,-1.467749
116.500000,8.000000,2.828427,7.003095,0.996905
117.500000,5.000000,2.236068,5.538442,-0.538442
118.500000,7.000000,2.645751,4.073788,2.926212
119.500000,4.000000,2.000000,2.609135,1.390865
