x,observed,fitted,residual
24.4100000000,0.5910000000,0.4963639785,0.0946360215
34.8200000000,1.5470000000,1.5653402203,-0.0183402203
44.0900000000,2.9020000000,2.9005739280,0.0014260720
45.0700000000,2.8940000000,3.0533083215,-0.1593083215
54.9800000000,4.7030000000,4.6386623117,0.0643376883
65.5100000000,6.3070000000,6.2804621094,0.0265378906
70.5300000000,7.0300000000,7.0126769776,0.0173230224
75.7000000000,7.8980000000,7.7231353952,0.1748646048
89.5700000000,9.4700000000,9.3955396459,0.0744603541
91.1400000000,9.4840000000,9.5636984725,-0.0796984725
96.4000000000,10.0720000000,10.0975169552,-0.0255169552
97.1900000000,10.1630000000,10.1738761549,-0.0108761549
114.2600000000,11.6150000000,11.6058598544,0.0091401456
120.2500000000,12.0050000000,12.0216811713,-0.0166811713
127.0800000000,12.4780000000,12.4499678307,0.0280321693
133.5500000000,12.9820000000,12.8157612513,0.1662387487
133.6100000000,12.9700000000,12.8189866731,0.1510133269
158.6700000000,13.9260000000,13.9459608334,-0.0199608334
172.7400000000,14.4520000000,14.4277146350,0.0242853650
171.3100000000,14.4040000000,14.3826278048,0.0213721952
202.1400000000,15.1900000000,15.2041280186,-0.0141280186
220.5500000000,15.5500000000,15.5795354966,-0.0295354966
221.0500000000,15.5280000000,15.5888323808,-0.0608323808
221.3900000000,15.4990000000,15.5951298423,-0.0961298423
250.9900000000,16.1310000000,16.0783144423,0.0526855577
268.9900000000,16.4380000000,16.3224626907,0.1155373093
271.8000000000,16.3870000000,16.3579470143,0.0290529857
271.9700000000,16.5490000000,16.3600731623,0.1889268377
321.3100000000,16.8720000000,16.8979957300,-0.0259957300
321.6900000000,16.8300000000,16.9016481915,-0.0716481915
330.1400000000,16.9260000000,16.9813824535,-0.0553824535
333.0300000000,16.9070000000,17.0080321499,-0.1010321499
333.4700000000,16.9660000000,17.0120631818,-0.0460631818
340.7700000000,17.0600000000,17.0779699397,-0.0179699397
345.6500000000,17.1220000000,17.1210591293,0.0009408707
373.1100000000,17.3110000000,17.3512465272,-0.0402465272
373.7900000000,17.3550000000,17.3567169630,-0.0017169630
411.8200000000,17.6680000000,17.6493339581,0.0186660419
419.5100000000,17.7670000000,17.7059104596,0.0610895404
421.5900000000,17.8030000000,17.7210941768,0.0819058232
422.0200000000,17.7650000000,17.7242270952,0.0407729048
422.4700000000,17.7680000000,17.7275035526,0.0404964474
422.6100000000,17.7360000000,17.7285224428,0.0074775572
441.7500000000,17.8580000000,17.8659853486,-0.0079853486
447.4100000000,17.8770000000,17.9060217393,-0.0290217393
448.7000000000,17.9120000000,17.9151127266,-0.0031127266
472.8900000000,18.0460000000,18.0836406232,-0.0376406232
476.6900000000,18.0850000000,18.1098368613,-0.0248368613
522.4700000000,18.2910000000,18.4221887196,-0.1311887196
522.6200000000,18.3570000000,18.4232070710,-0.0662070710
524.4300000000,18.4260000000,18.4354947095,-0.0094947095
546.7500000000,18.5840000000,18.5870963462,-0.0030963462
549.5300000000,18.6100000000,18.6060089644,0.0039910356
575.2900000000,18.8700000000,18.7819542074,0.0880457926
576.0000000000,18.7950000000,18.7868266536,0.0081733464
625.5500000000,19.1110000000,19.1315633882,-0.0205633882
20.1500000000,0.3670000000,0.2578732197,0.1091267803
28.7800000000,0.7960000000,0.8706757387,-0.0746757387
