x,observed,fitted,residual
77.6000000000,10.0700000000,9.9861568956,0.0838431044
114.9000000000,14.7300000000,14.6366018290,0.0933981710
141.1000000000,17.9400000000,17.8465467000,0.0934533000
190.8000000000,23.9300000000,23.8099699967,0.1200300033
239.9000000000,29.6100000000,29.5434466083,0.0665533917
289.0000000000,35.1800000000,35.1241295377,0.0558704623
332.8000000000,40.0200000000,39.9767876736,0.0432123264
378.4000000000,44.8200000000,44.9061624311,-0.0861624311
434.8000000000,50.7600000000,50.8344258991,-0.0744258991
477.3000000000,55.0500000000,55.1816845221,-0.1316845221
536.8000000000,61.0100000000,61.0995947791,-0.0895947791
593.1000000000,66.4000000000,66.5236566071,-0.1236566071
689.1000000000,75.4700000000,75.3937307266,0.0762692734
760.0000000000,81.7800000000,81.6503813491,0.1296186509
