x,observed,fitted,residual
1.0000000000,16.0800000000,20.3017829216,-4.2217829216
2.0000000000,33.8300000000,36.4148091708,-2.5848091708
3.0000000000,65.8000000000,64.6358677844,1.1641322156
4.0000000000,97.2000000000,112.3299170691,-15.1299170691
5.0000000000,191.5500000000,187.5350685719,4.0149314281
6.0000000000,326.2000000000,292.3810955100,33.8189044900
7.0000000000,386.8700000000,413.3578638820,-26.4878638820
8.0000000000,520.5300000000,523.4562571454,-2.9262571454
9.0000000000,590.0300000000,602.6930332682,-12.6630332682
10.0000000000,651.9200000000,650.1693984772,1.7506015228
11.0000000000,724.9300000000,675.4648701686,49.4651298314
12.0000000000,699.5600000000,688.0891937068,11.4708062932
13.0000000000,689.9600000000,694.1822664946,-4.2222664946
14.0000000000,637.5600000000,697.0753156711,-59.5153156711
15.0000000000,717.4100000000,698.4382600189,18.9717399811
