dataset,metric,param,fit,error,certified,abs_error,rel_error
Misra1a,param,b1,2.389546904714e2,2.823450766563e1,2.389421291800e2,1.256129144443e-2,5.257043405253e-5
Misra1a,param,b2,5.501207241573e-4,7.578515628424e-5,5.501564318100e-4,3.570765267995e-8,6.490454462647e-5
Misra1a,rss,NA,1.245519430640e-1,NA,1.245513889400e-1,5.541240172130e-7,4.448958955246e-6
Hahn1,param,b1,1.077635173423e0,1.016813747758e0,1.077635173300e0,1.234858881816e-10,1.145896971824e-10
Hahn1,param,b2,-1.226929692057e-1,5.103723103899e-2,-1.226929692100e-1,4.324068880734e-12,3.524300462020e-11
Hahn1,param,b3,4.086375061028e-3,7.177154421459e-4,4.086375061000e-3,2.809991822561e-14,6.876490240407e-12
Hahn1,param,b4,-1.426266251346e-6,1.570059512672e-6,-1.426266251400e-6,5.375736951397e-17,3.769097772677e-11
Hahn1,param,b5,-5.760994088599e-3,2.827054657962e-3,-5.760994090100e-3,1.501157705086e-12,2.605726861733e-10
Hahn1,param,b6,2.405373550370e-4,4.300526254903e-5,2.405373550300e-4,6.988252207810e-15,2.905266920782e-11
Hahn1,param,b7,-1.231445019902e-7,6.127978996427e-8,-1.231445019900e-7,2.099847615803e-19,1.705189904437e-12
Hahn1,rss,NA,1.532438285361e0,NA,1.532438285400e0,3.938471770937e-11,2.570068764569e-11
Rat43,param,b1,6.996414973512e2,5.556224645966e-1,6.996415127000e2,1.534875684683e-5,2.193803050308e-8
Rat43,param,b2,5.277126259127e0,7.526997919119e-2,5.277125302500e0,9.566268008854e-7,1.812780152164e-7
Rat43,param,b3,7.596296980697e-1,6.884788257492e-3,7.596293832900e-1,3.147797050795e-7,4.143858992345e-7
Rat43,param,b4,1.279246795674e0,2.539346538323e-2,1.279248385900e0,1.590225642278e-6,1.243093725821e-6
Rat43,rss,NA,8.786404908190e3,NA,8.786404908000e3,1.902062649606e-7,2.164779189580e-11
