magnitude_threshold,cumulative_count,log10_count,sigma_log10,pred_log10,residual
4.500,8546,3.93176289,0.00469789,3.91884861,0.01291428
4.600,6341,3.80215775,0.00545388,3.80168248,0.00047527
4.700,4721,3.67403400,0.00632073,3.68451635,-0.01048235
4.800,3701,3.56831909,0.00713879,3.56735022,0.00096887
4.900,2968,3.47246390,0.00797173,3.45018409,0.02227981
5.000,2126,3.32756326,0.00941895,3.33301796,-0.00545470
5.100,1580,3.19865709,0.01092586,3.21585183,-0.01719474
5.200,1169,3.06781451,0.01270214,3.09868570,-0.03087119
5.300,857,2.93298082,0.01483522,2.98151957,-0.04853875
5.400,659,2.81888541,0.01691771,2.86435344,-0.04546802
5.500,513,2.71011737,0.01917457,2.74718731,-0.03706994
5.600,412,2.61489722,0.02139615,2.63002118,-0.01512396
5.700,304,2.48287358,0.02490850,2.51285505,-0.02998146
5.800,234,2.36921586,0.02839072,2.39568892,-0.02647306
5.900,190,2.27875360,0.03150703,2.27852279,0.00023081
6.000,144,2.15836249,0.03619121,2.16135666,-0.00299417
6.100,107,2.02938378,0.04198483,2.04419053,-0.01480675
6.200,91,1.95904139,0.04552643,1.92702440,0.03201699
6.300,65,1.81291336,0.05386760,1.80985827,0.00305509
6.400,54,1.73239376,0.05909999,1.69269214,0.03970162
6.500,46,1.66275783,0.06403323,1.57552601,0.08723182
6.600,40,1.60205999,0.06866799,1.45835988,0.14370011
6.700,29,1.46239800,0.08064646,1.34119375,0.12120425
6.800,24,1.38021124,0.08864999,1.22402762,0.15618362
6.900,20,1.30103000,0.09711120,1.10686149,0.19416851
7.000,16,1.20411998,0.10857362,0.98969536,0.21442463
7.100,13,1.11394335,0.12045162,0.87252923,0.24141413
7.200,12,1.07918125,0.12537002,0.75536310,0.32381815
7.300,12,1.07918125,0.12537002,0.63819697,0.44098428
7.400,11,1.04139269,0.13094471,0.52103084,0.52036185
7.500,7,0.84509804,0.16414788,0.40386471,0.44123333
7.600,6,0.77815125,0.17729998,0.28669858,0.49145267
7.700,3,0.47712125,0.25074004,0.16953245,0.30758881
7.800,2,0.30103000,0.30709257,0.05236632,0.24866368
7.900,1,0.00000000,0.43429448,-0.06479981,0.06479981
8.000,1,0.00000000,0.43429448,-0.18196594,0.18196594
