upstream_repo,upstream_subdir,upstream_ref,upstream_commit,upstream_file,upstream_symbol,upstream_line,rust_file,rust_symbol,rust_line,status,rationale
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,CanComputeG2,38,src/gradient/analytical.rs,can_compute_g2,107,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,CanComputeHessian,40,src/gradient/analytical.rs,can_compute_hessian,111,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,G2,36,src/gradient/analytical.rs,g2,115,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,Hessian,33,src/gradient/analytical.rs,hessian,142,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,operator(),28,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,operator(),30,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,src/BFGSErrorUpdator.cxx,Nrow,36,src/migrad/builder.rs,nrow,412,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,src/BFGSErrorUpdator.cxx,operator(),24,,,,intentionally-skipped,constructor/destructor/operator handled idiomatically in Rust
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BFGSErrorUpdator.h,Update,18,src/migrad/builder.rs,update,402,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicFunctionGradient.h,<no_symbol_extracted>,,src/minimum/gradient.rs,,,needs-review,source unavailable: inc/Minuit2/BasicFunctionGradient.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicFunctionGradient.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicFunctionMinimum.h,<no_symbol_extracted>,,src/minimum/error.rs;src/minimum/mod.rs;src/user_parameter_state.rs,,,needs-review,source unavailable: inc/Minuit2/BasicFunctionMinimum.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicFunctionMinimum.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumError.h;src/BasicMinimumError.cxx,<no_symbol_extracted>,,src/minimum/error.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumError.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumError.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumParameters.h,<no_symbol_extracted>,,src/minimum/parameters.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumParameters.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumParameters.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumSeed.h,<no_symbol_extracted>,,src/minimum/seed.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumSeed.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumSeed.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumState.h,<no_symbol_extracted>,,src/minimum/state.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumState.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumState.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimizer.h,<no_symbol_extracted>,,src/minimize/mod.rs,,,needs-review,unable to extract symbols with heuristic parser
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,Minimum,20,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetPrintLevel,24,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetStorageLevel,30,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetTraceObject,38,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,NFcn,60,src/contours/contours_error.rs,nfcn,33,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,XMin,61,src/contours/contours_error.rs,x_min,37,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,Xpar,53,src/contours/contours_error.rs,xpar,25,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,YMin,62,src/contours/contours_error.rs,y_min,41,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/ContoursError.h,Ypar,54,src/contours/contours_error.rs,ypar,29,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/DavidonErrorUpdator.h,Update,18,src/migrad/builder.rs,update,402,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,ErrorDef,40,src/fcn.rs,error_def,17,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,G2,63,src/fcn.rs,g2,53,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Gradient,51,src/fcn.rs,gradient,86,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,GradientWithPrevResult,52,src/fcn.rs,gradient_with_prev_result,37,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,gradParameterSpace,58,src/fcn.rs,grad_parameter_space,48,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasG2,70,src/fcn.rs,g2,53,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasGradient,49,src/fcn.rs,has_gradient,32,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,HasHessian,68,src/fcn.rs,hessian,58,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Hessian,66,src/fcn.rs,hessian,58,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,operator(),36,src/fcn.rs,value,14,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,SetErrorDef,47,src/fcn.rs,set_error_def,29,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNBase.h,Up,44,src/fcn.rs,up,22,implemented,symbol name match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FCNGradientBase.h,HasGradient,20,src/fcn.rs,has_gradient,32,needs-review,multiple Rust symbol candidates
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/FunctionGradient.h,HasG2,46,src/minimum/gradient.rs,g2,51,implemented,symbol name match
