upstream_repo,upstream_subdir,upstream_ref,upstream_commit,upstream_file,upstream_symbol,upstream_line,rust_file,rust_symbol,rust_line,status,rationale
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicFunctionGradient.h,<no_symbol_extracted>,,src/minimum/gradient.rs,,,needs-review,source unavailable: inc/Minuit2/BasicFunctionGradient.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicFunctionGradient.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicFunctionMinimum.h,<no_symbol_extracted>,,src/minimum/error.rs;src/minimum/mod.rs;src/user_parameter_state.rs,,,needs-review,source unavailable: inc/Minuit2/BasicFunctionMinimum.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicFunctionMinimum.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumError.h;src/BasicMinimumError.cxx,<no_symbol_extracted>,,src/minimum/error.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumError.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumError.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumParameters.h,<no_symbol_extracted>,,src/minimum/parameters.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumParameters.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumParameters.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumSeed.h,<no_symbol_extracted>,,src/minimum/seed.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumSeed.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumSeed.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumState.h,<no_symbol_extracted>,,src/minimum/state.rs,,,needs-review,source unavailable: inc/Minuit2/BasicMinimumState.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumState.h: 404
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimizer.h,<no_symbol_extracted>,,src/minimize/mod.rs,,,needs-review,unable to extract symbols with heuristic parser
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,Minimum,20,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetPrintLevel,24,,,,needs-review,architectural refactor; no 1:1 symbol match
root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/CombinedMinimumBuilder.h,SetStorageLevel,30,,,,needs-review,architectural refactor; no 1:1 symbol match
