risk,rust_file,upstream_file,mapped_by_parity,rust_tokens,upstream_tokens,token_cosine,generic_token_cosine,identifier_jaccard,shared_identifiers,code_shingles,generic_code_shingles,comment_shingles,shared_string_literals,example_shared_strings
high,src/bin/ref_compare_runner.rs,test/testMinuit2.cxx,no,2668,1071,0.7567,0.9089,0.0848,14,22,22,0,0,
high,src/covariance_squeeze.rs,test/testMinimizer.cxx,no,1124,4977,0.8177,0.9306,0.022,5,12,12,0,0,
high,src/covariance_squeeze.rs,test/testADMinim.cxx,no,1124,4684,0.8169,0.9306,0.0175,4,12,12,0,0,
high,src/covariance_squeeze.rs,test/testMinuit2.cxx,no,1124,1071,0.8198,0.9315,0.0645,6,6,6,0,0,
high,src/bin/ref_compare_runner.rs,test/testUserFunc.cxx,no,2668,269,0.8693,0.9611,0.0252,4,4,4,0,0,
high,src/bin/ref_compare_runner.rs,test/MnTutorial/Quad4F.h,no,2668,416,0.5888,0.6916,0.0288,4,4,4,0,0,
high,src/bin/ref_compare_runner.rs,test/MnTutorial/Quad8F.h,no,2668,212,0.5038,0.7671,0.0213,3,4,5,0,0,
high,src/bin/ref_compare_runner.rs,test/MnTutorial/Quad12F.h,no,2668,288,0.4774,0.7669,0.0207,3,4,5,0,0,
high,src/user_parameters.rs,src/MnUserTransformation.cxx,yes,1781,2932,0.827,0.9522,0.1302,22,0,0,3,0,
high,src/gradient/analytical.rs,test/testMinuit2.cxx,no,1312,1071,0.8141,0.9309,0.0593,8,3,4,0,0,
high,src/parameter.rs,test/testMinimizer.cxx,no,1181,4977,0.6108,0.8713,0.0265,6,3,5,0,0,
medium,src/minimum/mod.rs,inc/Minuit2/FunctionMinimum.h,yes,1360,801,0.8653,0.9565,0.1111,18,0,1,0,0,
medium,src/linesearch.rs,src/MnLineSearch.cxx,yes,1652,4579,0.8621,0.9753,0.0806,17,0,12,0,0,
medium,src/migrad/builder.rs,src/BFGSErrorUpdator.cxx,yes,1615,727,0.8254,0.9566,0.092,15,0,6,0,0,
medium,src/user_covariance.rs,inc/Minuit2/MnUserCovariance.h,yes,560,414,0.8079,0.926,0.1765,9,0,0,0,0,
medium,src/user_parameter_state.rs,inc/Minuit2/FunctionMinimum.h,yes,1543,801,0.7736,0.9345,0.0769,12,0,0,0,0,
medium,src/parameter.rs,inc/Minuit2/MinuitParameter.h,yes,1181,881,0.7561,0.9338,0.1398,13,0,0,0,0,
medium,src/minimum/state.rs,inc/Minuit2/MinimumState.h,yes,350,423,0.7313,0.9129,0.2222,12,0,0,0,0,
medium,src/parabola.rs,inc/Minuit2/MnParabola.h,yes,1005,234,0.7218,0.8814,0.0926,5,0,0,0,0,
medium,src/user_parameters.rs,inc/Minuit2/MnUserTransformation.h,yes,1781,857,0.7132,0.9146,0.1389,20,0,0,0,0,
medium,src/hesse/mod.rs,inc/Minuit2/MnHesse.h,yes,874,220,0.7031,0.9274,0.0943,10,0,0,0,0,
