workload,status,issues,warnings,fval_abs,edm_abs,max_param_abs,max_error_abs,max_cov_abs,minos_abs,nfcn_rel
quadratic3_fixx_migrad,warn,,nfcn relative diff 0.828 > 0.5,1.492603e-05,3.030693e-05,3.886512e-04,0.000000e+00,0.000000e+00,0.000000e+00,8.275862e-01
quadratic3_fixx_hesse,warn,,nfcn relative diff 0.513 > 0.5,1.492603e-05,1.492603e-05,3.886512e-04,0.000000e+00,9.940541e-10,0.000000e+00,5.128205e-01
rosenbrock2_migrad,pass,,,1.959405e-05,1.176293e-05,4.130547e-03,0.000000e+00,3.899209e-01,0.000000e+00,7.142857e-03
quadratic2_minos_p0,pass,,,6.286083e-13,7.479002e-13,5.209722e-11,0.000000e+00,0.000000e+00,5.249334e-11,5.000000e-01
quadratic2_simplex,pass,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
rosenbrock2_minimize,pass,,,1.959405e-05,1.176293e-05,4.130547e-03,0.000000e+00,3.899209e-01,0.000000e+00,7.142857e-03
quadratic2_minos_p1,pass,,,6.286083e-13,7.479002e-13,5.209722e-11,0.000000e+00,0.000000e+00,1.373903e-06,5.000000e-01
quadratic2_lower_limited_migrad,pass,,,6.155187e-12,1.030628e-07,3.036728e-08,0.000000e+00,0.000000e+00,0.000000e+00,2.666667e-01
rosenbrock2_migrad_strategy2,pass,,,1.202410e-05,1.977139e-05,4.205607e-03,0.000000e+00,4.387640e-01,0.000000e+00,9.259259e-02
quadratic2_scan_p0,pass,,,6.286083e-13,2.879268e-05,5.209722e-11,0.000000e+00,0.000000e+00,0.000000e+00,3.571429e-01
quadratic2_contours_01,pass,,,6.286083e-13,7.479002e-13,5.209722e-11,0.000000e+00,5.658812e-09,0.000000e+00,5.000000e-01
quadratic2_no_g2_migrad,pass,,,0.000000e+00,0.000000e+00,7.771561e-16,0.000000e+00,0.000000e+00,0.000000e+00,5.000000e-01
