upstream_file,upstream_symbol,function_mangled,function_demangled,call_count,mapping_status,gap_priority,waiver_types,rust_refs,workload_ids,notes
inc/Minuit2/FunctionGradient.h,G2,_ZNK4ROOT7Minuit216FunctionGradient2G2Ev,ROOT::Minuit2::FunctionGradient::G2() const,206,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/FunctionGradient.h,Grad,_ZNK4ROOT7Minuit216FunctionGradient4GradEv,ROOT::Minuit2::FunctionGradient::Grad() const,992,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/FunctionGradient.h,Gstep,_ZNK4ROOT7Minuit216FunctionGradient5GstepEv,ROOT::Minuit2::FunctionGradient::Gstep() const,169,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/FunctionGradient.h,Vec,_ZNK4ROOT7Minuit216FunctionGradient3VecEv,ROOT::Minuit2::FunctionGradient::Vec() const,600,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/FunctionMinimum.h,Error,_ZNK4ROOT7Minuit215FunctionMinimum5ErrorEv,ROOT::Minuit2::FunctionMinimum::Error() const,29,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/FunctionMinimum.h,Parameters,_ZNK4ROOT7Minuit215FunctionMinimum10ParametersEv,ROOT::Minuit2::FunctionMinimum::Parameters() const,8,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/HessianGradientCalculator.h,Fcn,_ZNK4ROOT7Minuit225HessianGradientCalculator3FcnEv,ROOT::Minuit2::HessianGradientCalculator::Fcn() const,15,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/HessianGradientCalculator.h,Strategy,_ZNK4ROOT7Minuit225HessianGradientCalculator8StrategyEv,ROOT::Minuit2::HessianGradientCalculator::Strategy() const,30,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumError.h,InvHessian,_ZNK4ROOT7Minuit212MinimumError10InvHessianEv,ROOT::Minuit2::MinimumError::InvHessian() const,672,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
inc/Minuit2/MinimumParameters.h,Dirin,_ZNK4ROOT7Minuit217MinimumParameters5DirinEv,ROOT::Minuit2::MinimumParameters::Dirin() const,2,missing,P1,,,quadratic3_fixx_migrad;quadratic3_fixx_hesse;rosenbrock2_migrad;quadratic2_minos_p0;quadratic2_simplex;rosenbrock2_minimize;quadratic2_minos_p1;quadratic2_lower_limited_migrad;rosenbrock2_migrad_strategy2;quadratic2_scan_p0;quadratic2_contours_01;quadratic2_no_g2_migrad,
