function,file,count
_ZN4ROOT7Minuit228AnalyticalGradientCalculatorC2ERKNS0_7FCNBaseERKNS0_20MnUserTransformationE,third_party/root_ref/math/minuit2/inc/Minuit2/AnalyticalGradientCalculator.h,4
_ZN4ROOT7Minuit213ContoursErrorC2EjjNSt6__ROOT4spanIKNSt3__14pairIddEEEERKNS0_10MinosErrorESB_j,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,1
_ZNK4ROOT7Minuit213ContoursErrorclEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,1
_ZN4ROOT7Minuit216FunctionGradientC2ERKNS0_8LAVectorE,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,6
_ZN4ROOT7Minuit216FunctionGradientC2ERKNS0_8LAVectorES4_,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,2
_ZN4ROOT7Minuit216FunctionGradientC2ERKNS0_8LAVectorES4_S4_,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,178
_ZN4ROOT7Minuit216FunctionGradientC2Ej,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,33
_ZNK4ROOT7Minuit216FunctionGradient12IsAnalyticalEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,46
_ZNK4ROOT7Minuit216FunctionGradient2G2Ev,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,206
_ZNK4ROOT7Minuit216FunctionGradient3VecEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,600
_ZNK4ROOT7Minuit216FunctionGradient4GradEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,992
_ZNK4ROOT7Minuit216FunctionGradient5GstepEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,169
_ZNK4ROOT7Minuit216FunctionGradient5HasG2Ev,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,2
_ZN4ROOT7Minuit215FunctionMinimum3AddERKNS0_12MinimumStateENS1_6StatusE,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,31
_ZN4ROOT7Minuit215FunctionMinimumC1ERKNS0_11MinimumSeedEd,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,59
_ZN4ROOT7Minuit215FunctionMinimumC2ERKNS0_11MinimumSeedENSt6__ROOT4spanIKNS0_12MinimumStateEEEdNS1_6StatusE,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,87
_ZNK4ROOT7Minuit215FunctionMinimum10ParametersEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,8
_ZNK4ROOT7Minuit215FunctionMinimum5ErrorEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,29
_ZN4ROOT7Minuit218GradientCalculatorD2Ev,third_party/root_ref/math/minuit2/inc/Minuit2/GradientCalculator.h,77
_ZN4ROOT7Minuit225HessianGradientCalculatorC2ERKNS0_5MnFcnERKNS0_20MnUserTransformationERKNS0_10MnStrategyE,third_party/root_ref/math/minuit2/inc/Minuit2/HessianGradientCalculator.h,15
_ZNK4ROOT7Minuit225HessianGradientCalculator3FcnEv,third_party/root_ref/math/minuit2/inc/Minuit2/HessianGradientCalculator.h,15
_ZNK4ROOT7Minuit225HessianGradientCalculator8StrategyEv,third_party/root_ref/math/minuit2/inc/Minuit2/HessianGradientCalculator.h,30
_ZN4ROOT7Minuit225InitialGradientCalculatorC2ERKNS0_5MnFcnERKNS0_20MnUserTransformationE,third_party/root_ref/math/minuit2/inc/Minuit2/InitialGradientCalculator.h,29
_ZNK4ROOT7Minuit225InitialGradientCalculator5TrafoEv,third_party/root_ref/math/minuit2/inc/Minuit2/InitialGradientCalculator.h,413
_ZNK4ROOT7Minuit214MinimumBuilder10PrintLevelEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumBuilder.h,174
_ZNK4ROOT7Minuit214MinimumBuilder12StorageLevelEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumBuilder.h,108
_ZNK4ROOT7Minuit214MinimumBuilder9TraceIterEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumBuilder.h,127
_ZN4ROOT7Minuit212MinimumErrorC2ERKNS0_11LASymMatrixEd,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,157
_ZN4ROOT7Minuit212MinimumErrorC2Ej,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,33
_ZNK4ROOT7Minuit212MinimumError10InvHessianEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,672
_ZNK4ROOT7Minuit212MinimumError10IsAccurateEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,64
_ZNK4ROOT7Minuit212MinimumError19HasReachedCallLimitEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,27
_ZNK4ROOT7Minuit212MinimumError6DcovarEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,338
_ZNK4ROOT7Minuit212MinimumError6MatrixEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumError.h,89
_ZN4ROOT7Minuit219MinimumErrorUpdatorD2Ev,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumErrorUpdator.h,29
_ZN4ROOT7Minuit217MinimumParametersC2ERKNS0_8LAVectorES4_d,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumParameters.h,1
_ZN4ROOT7Minuit217MinimumParametersC2ERKNS0_8LAVectorEd,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumParameters.h,109
_ZN4ROOT7Minuit217MinimumParametersC2EdNS1_6StatusE,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumParameters.h,32
_ZNK4ROOT7Minuit217MinimumParameters3VecEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumParameters.h,1474
_ZNK4ROOT7Minuit217MinimumParameters5DirinEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumParameters.h,2
_ZN4ROOT7Minuit211MinimumSeedC2ERKNS0_12MinimumStateERKNS0_20MnUserTransformationE,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,60
_ZNK4ROOT7Minuit211MinimumSeed10ParametersEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,146
_ZNK4ROOT7Minuit211MinimumSeed4FvalEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,3
_ZNK4ROOT7Minuit211MinimumSeed4NFcnEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,59
_ZNK4ROOT7Minuit211MinimumSeed5ErrorEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,59
_ZNK4ROOT7Minuit211MinimumSeed5StateEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,381
_ZNK4ROOT7Minuit211MinimumSeed7IsValidEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,27
_ZNK4ROOT7Minuit211MinimumSeed8GradientEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,60
_ZNK4ROOT7Minuit211MinimumSeed9PrecisionEv,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumSeed.h,28
_ZN4ROOT7Minuit212MinimumStateC1ERKNS0_17MinimumParametersEdi,third_party/root_ref/math/minuit2/inc/Minuit2/MinimumState.h,33
