function,file,count
_ZN4ROOT7Minuit222CombinedMinimumBuilder13SetPrintLevelEi,third_party/root_ref/math/minuit2/inc/Minuit2/CombinedMinimumBuilder.h,0
_ZN4ROOT7Minuit222CombinedMinimumBuilder14SetTraceObjectERNS0_13MnTraceObjectE,third_party/root_ref/math/minuit2/inc/Minuit2/CombinedMinimumBuilder.h,0
_ZN4ROOT7Minuit222CombinedMinimumBuilder15SetStorageLevelEi,third_party/root_ref/math/minuit2/inc/Minuit2/CombinedMinimumBuilder.h,0
_ZN4ROOT7Minuit213ContoursErrorC2ERKS1_,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZN4ROOT7Minuit213ContoursErrorC2EjjNSt6__ROOT4spanIKNSt3__14pairIddEEEERKNS0_10MinosErrorESB_j,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZN4ROOT7Minuit213ContoursErrorclERKS1_,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError11XMinosErrorEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError11YMinosErrorEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError4NFcnEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError4XMinEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError4XparEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError4YMinEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError4YparEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError6XMinosEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursError6YMinosEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZNK4ROOT7Minuit213ContoursErrorclEv,third_party/root_ref/math/minuit2/inc/Minuit2/ContoursError.h,0
_ZN4ROOT7Minuit234ExternalInternalGradientCalculatorC2ERKNS0_7FCNBaseERKNS0_20MnUserTransformationE,third_party/root_ref/math/minuit2/inc/Minuit2/ExternalInternalGradientCalculator.h,0
_ZN4ROOT7Minuit27FCNBase11SetErrorDefEd,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase10HasHessianEv,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase11HasGradientEv,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase18gradParameterSpaceEv,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase22GradientWithPrevResultERKNSt3__16vectorIdNS2_9allocatorIdEEEEPdS9_S9_,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase2G2ERKNSt3__16vectorIdNS2_9allocatorIdEEEE,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase5HasG2Ev,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase7HessianERKNSt3__16vectorIdNS2_9allocatorIdEEEE,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase8ErrorDefEv,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZNK4ROOT7Minuit27FCNBase8GradientERKNSt3__16vectorIdNS2_9allocatorIdEEEE,third_party/root_ref/math/minuit2/inc/Minuit2/FCNBase.h,0
_ZN4ROOT7Minuit216FunctionGradientC2ERKNS0_8LAVectorES4_,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,0
_ZNK4ROOT7Minuit216FunctionGradient5HasG2Ev,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,0
_ZNK4ROOT7Minuit216FunctionGradient7IsValidEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionGradient.h,0
_ZN4ROOT7Minuit215FunctionMinimum11SetErrorDefEd,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,0
_ZN4ROOT7Minuit215FunctionMinimumC2ERKNS0_11MinimumSeedEd,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,0
_ZNK4ROOT7Minuit215FunctionMinimum11HesseFailedEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,0
_ZNK4ROOT7Minuit215FunctionMinimum13HasCovarianceEv,third_party/root_ref/math/minuit2/inc/Minuit2/FunctionMinimum.h,0
