legacy_id,upstream_repo,upstream_subdir,upstream_ref,upstream_commit,upstream_file,upstream_symbol,upstream_line,rust_file,rust_symbol,rust_line,raw_status,effective_status,waived,waiver_type,waiver_reason,waiver_source,ambiguous_implemented,rationale
inc/Minuit2/AnalyticalGradientCalculator.h::CanComputeG2@38,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,CanComputeG2,38,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/AnalyticalGradientCalculator.h::CanComputeHessian@40,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,CanComputeHessian,40,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/AnalyticalGradientCalculator.h::G2@36,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,G2,36,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/AnalyticalGradientCalculator.h::Hessian@33,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,Hessian,33,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/AnalyticalGradientCalculator.h::operator()@28,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,operator(),28,,,,intentionally-skipped,waived,true,intentional,constructor/destructor/operator handled idiomatically in Rust,auto-intentional,false,constructor/destructor/operator handled idiomatically in Rust
inc/Minuit2/AnalyticalGradientCalculator.h::operator()@30,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/AnalyticalGradientCalculator.h,operator(),30,,,,intentionally-skipped,waived,true,intentional,constructor/destructor/operator handled idiomatically in Rust,auto-intentional,false,constructor/destructor/operator handled idiomatically in Rust
src/BFGSErrorUpdator.cxx::Nrow@36,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,src/BFGSErrorUpdator.cxx,Nrow,36,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
src/BFGSErrorUpdator.cxx::operator()@24,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,src/BFGSErrorUpdator.cxx,operator(),24,,,,intentionally-skipped,waived,true,intentional,constructor/destructor/operator handled idiomatically in Rust,auto-intentional,false,constructor/destructor/operator handled idiomatically in Rust
inc/Minuit2/BFGSErrorUpdator.h::Update@18,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BFGSErrorUpdator.h,Update,18,,,,missing,unresolved,false,,,,false,no symbol match in mapped Rust files
inc/Minuit2/BasicFunctionGradient.h::<no_symbol_extracted>@na,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicFunctionGradient.h,<no_symbol_extracted>,,src/minimum/gradient.rs,,,needs-review,waived,true,tooling,Upstream source extraction unavailable at pinned tag; tracked as tooling limitation.,rule,false,source unavailable: inc/Minuit2/BasicFunctionGradient.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicFunctionGradient.h: 404
inc/Minuit2/BasicFunctionMinimum.h::<no_symbol_extracted>@na,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicFunctionMinimum.h,<no_symbol_extracted>,,src/minimum/error.rs;src/minimum/mod.rs;src/user_parameter_state.rs,,,needs-review,waived,true,tooling,Upstream source extraction unavailable at pinned tag; tracked as tooling limitation.,rule,false,source unavailable: inc/Minuit2/BasicFunctionMinimum.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicFunctionMinimum.h: 404
inc/Minuit2/BasicMinimumError.h;src/BasicMinimumError.cxx::<no_symbol_extracted>@na,root-project/root,math/minuit2,v6-36-08,a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd,inc/Minuit2/BasicMinimumError.h;src/BasicMinimumError.cxx,<no_symbol_extracted>,,src/minimum/error.rs,,,needs-review,waived,true,tooling,Upstream source extraction unavailable at pinned tag; tracked as tooling limitation.,rule,false,source unavailable: inc/Minuit2/BasicMinimumError.h: failed to download https://raw.githubusercontent.com/root-project/root/a8ca1b23e38d7dbe0ff24027894ca0f2ad65f1bd/math/minuit2/inc/Minuit2/BasicMinimumError.h: 404
